City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Kaitangata,NZ,2022-05-26 13:03:32,-46.2817,169.8464,38.98,91,4,4.85
133,Portland,US,2022-05-26 13:02:03,45.5234,-122.6762,58.51,86,100,0.0
134,Blacksburg,US,2022-05-26 13:03:25,37.2296,-80.4139,61.09,93,100,3.76
135,Kumluca,TR,2022-05-26 13:03:32,36.3703,30.2869,83.26,45,24,8.66
136,Mahon,ES,2022-05-26 13:04:33,39.8885,4.2658,70.36,52,40,27.63
137,Saint George,US,2022-05-26 13:04:33,37.1041,-113.5841,69.8,23,0,0.0
138,Fairbanks,US,2022-05-26 13:02:47,64.8378,-147.7164,53.56,67,75,4.61
139,Westport,US,2022-05-26 13:00:30,41.1415,-73.3579,62.42,77,100,1.99
140,Santiago Del Estero,AR,2022-05-26 13:04:34,-27.7951,-64.2615,56.53,52,100,8.61
141,Hornepayne,CA,2022-05-26 13:04:34,49.2138,-84.7705,48.78,98,100,9.93
142,Gotsu,JP,2022-05-26 13:04:34,35.0,132.2167,64.0,94,100,5.37
143,San Cristobal,VE,2022-05-26 13:04:35,7.7669,-72.225,75.38,86,100,3.96
144,Saskylakh,RU,2022-05-26 13:04:35,71.9167,114.0833,30.58,87,100,12.46
145,Norman Wells,CA,2022-05-26 13:04:35,65.282,-126.8329,47.19,89,100,1.68
146,Bartica,GY,2022-05-26 13:04:36,6.4,-58.6167,84.52,86,18,3.53
147,Salalah,OM,2022-05-26 13:04:36,17.0151,54.0924,87.89,66,0,11.5
148,Kodiak,US,2022-05-26 13:04:36,57.79,-152.4072,36.91,81,0,6.91
149,Sao Filipe,CV,2022-05-26 13:04:37,14.8961,-24.4956,73.44,77,15,9.53
150,Znamenskoye,RU,2022-05-26 13:04:37,57.1281,73.8282,79.32,43,1,8.43
151,Narsaq,GL,2022-05-26 13:04:37,60.9167,-46.05,50.22,47,96,5.08
152,Tilichiki,RU,2022-05-26 13:04:38,60.4667,166.1,38.07,95,100,3.33
153,Dongsheng,CN,2022-05-26 13:04:38,39.8161,109.9776,64.56,16,17,9.33
154,Kalna,IN,2022-05-26 13:04:38,23.2167,88.3667,92.71,32,2,9.84
155,Siniscola,IT,2022-05-26 13:04:39,40.5719,9.6922,72.95,64,100,5.95
156,Fort Nelson,CA,2022-05-26 13:04:39,58.8053,-122.7002,35.19,93,40,2.3
157,Bom Jardim,BR,2022-05-26 13:04:39,-7.7958,-35.5872,75.65,88,72,14.5
158,Cidreira,BR,2022-05-26 13:04:40,-30.1811,-50.2056,64.81,92,100,5.17
159,Nador,MA,2022-05-26 13:04:40,35.174,-2.9287,71.85,64,20,12.66
160,Monrovia,LR,2022-05-26 13:04:40,6.3005,-10.7969,82.8,72,99,9.46
161,Nhulunbuy,AU,2022-05-26 13:03:50,-12.2333,136.7667,79.41,69,100,10.36
162,Saint Marys,US,2022-05-26 13:04:01,30.7305,-81.5465,82.13,82,40,10.36
163,Rocha,UY,2022-05-26 13:04:26,-34.4833,-54.3333,54.14,71,0,9.44
164,Dasoguz,TM,2022-05-26 13:04:41,41.8363,59.9666,78.89,20,12,13.15
165,Nabire,ID,2022-05-26 13:04:42,-3.3667,135.4833,77.2,90,100,2.75
166,Pisco,PE,2022-05-26 13:04:42,-13.7,-76.2167,60.85,88,100,3.44
167,Kirakira,SB,2022-05-26 13:04:42,-10.4544,161.9205,79.52,83,100,7.7
168,Eyrarbakki,IS,2022-05-26 13:04:43,63.863,-21.1481,47.37,76,69,9.57
169,Airai,TL,2022-05-26 13:04:43,-8.9266,125.4092,59.31,95,100,3.11
170,Hamilton,US,2022-05-26 13:03:16,39.1834,-84.5333,69.26,92,100,13.8
171,Bac Lieu,VN,2022-05-26 13:04:43,9.285,105.7244,84.52,75,100,11.63
172,Springbok,ZA,2022-05-26 13:02:20,-29.6643,17.8865,73.49,18,0,1.81
173,Taft,IR,2022-05-26 13:04:44,31.7471,54.2088,89.55,8,0,4.61
174,Vichy,FR,2022-05-26 13:04:44,46.25,3.5833,66.34,51,99,4.72
175,Severo-Kurilsk,RU,2022-05-26 13:04:45,50.6789,156.125,39.6,92,63,5.95
176,Linxia,CN,2022-05-26 13:04:45,35.6003,103.2064,60.51,53,100,3.49
177,Turayf,SA,2022-05-26 13:04:45,31.6725,38.6637,87.91,11,0,2.91
178,Port-Gentil,GA,2022-05-26 13:04:46,-0.7193,8.7815,77.09,79,100,8.37
179,Sitka,US,2022-05-26 13:04:46,57.0531,-135.33,42.69,81,40,0.0
180,Leningradskiy,RU,2022-05-26 13:05:46,69.3833,178.4167,32.54,93,100,5.84
181,Hasaki,JP,2022-05-26 13:05:47,35.7333,140.8333,68.29,84,100,16.84
182,Grand Gaube,MU,2022-05-26 13:05:47,-20.0064,57.6608,79.2,67,5,1.99
183,Dikson,RU,2022-05-26 13:05:47,73.5069,80.5464,30.7,81,100,4.07
184,Porto Novo,BJ,2022-05-26 13:03:15,6.4965,2.6036,85.87,63,87,9.57
185,Pathein,MM,2022-05-26 13:05:48,16.7833,94.7333,80.85,82,42,8.81
186,Anadyr,RU,2022-05-26 13:05:48,64.75,177.4833,37.89,89,68,11.1
187,Elko,US,2022-05-26 13:00:49,41.0002,-115.5012,56.5,41,100,5.08
188,Yenagoa,NG,2022-05-26 13:05:48,4.9247,6.2642,82.17,79,100,7.74
189,Port Hardy,CA,2022-05-26 13:05:49,50.6996,-127.4199,46.65,90,100,1.16
190,Asau,RO,2022-05-26 13:05:49,46.4333,26.4,69.28,68,68,1.61
191,Buchanan,LR,2022-05-26 13:05:50,5.8808,-10.0467,83.39,69,79,7.27
192,Boca Do Acre,BR,2022-05-26 13:05:50,-8.7522,-67.3978,80.37,66,56,1.59
193,Fort Wellington,GY,2022-05-26 13:05:50,6.4,-57.6,80.11,85,44,9.57
194,Staryy Nadym,RU,2022-05-26 13:05:51,65.6118,72.6842,62.6,31,98,19.04
195,Hambantota,LK,2022-05-26 13:05:51,6.1241,81.1185,84.54,79,20,11.5
196,Carnarvon,AU,2022-05-26 13:05:51,-24.8667,113.6333,73.17,53,100,8.43
197,Cherskiy,RU,2022-05-26 13:05:51,68.75,161.3,31.48,78,100,14.94
198,Partizanskoye,RU,2022-05-26 13:05:52,55.5006,94.39,60.3,52,11,9.22
199,Bryan,US,2022-05-26 13:05:52,30.6744,-96.37,68.88,70,0,6.91
200,Maceio,BR,2022-05-26 13:05:52,-9.6658,-35.7353,76.44,83,100,14.97
201,Geraldton,AU,2022-05-26 13:02:37,-28.7667,114.6,61.21,88,40,3.44
202,Eureka,US,2022-05-26 13:05:53,40.8021,-124.1637,51.21,82,100,1.72
203,Tampere,FI,2022-05-26 13:01:50,61.4991,23.7871,54.16,85,40,6.91
204,Namibe,AO,2022-05-26 13:05:53,-15.1961,12.1522,75.25,59,2,9.33
