City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Grand-Santi,GF,74.44,heavy intensity rain,4.25,-54.3833,Hotel La Villa Couacou
306,Conde,BR,74.66,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
307,Kieta,PG,81.39,light rain,-6.2167,155.6333,Uruna Bay Retreat
309,Barcelos,PT,74.84,few clouds,41.5388,-8.6151,Hotel Restaurante Bagoeira
314,Bubaque,GW,79.59,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
317,Rock Springs,US,80.04,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
318,Caravelas,BR,70.9,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
320,Sola,VU,81.09,scattered clouds,-13.8833,167.55,Leumerus Bungalows
327,Coahuayana,MX,87.35,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
328,Alpena,US,79.12,broken clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
329,Gravelbourg,CA,74.05,overcast clouds,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
332,Maumee,US,70.52,scattered clouds,41.5628,-83.6538,Homewood Suites by Hilton Toledo-Maumee
339,Kyaukse,MM,78.75,clear sky,21.6,96.1333,Shwe Thit Sar Guesthouse
348,Altamont,US,75.88,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
353,Sinnamary,GF,78.71,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
362,Portovelo,EC,76.06,light rain,-3.7167,-79.6167,"Hotel ""Curipamba"""
367,Eravur,LK,79.7,overcast clouds,7.7733,81.6095,Farhan KING House
368,Rosarito,MX,74.62,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
371,Gizo,SB,82.2,light rain,-8.103,156.8419,Imagination Island
372,Bida,NG,79.86,clear sky,9.0833,6.0167,Royal Suite
373,Sao Jose Da Coroa Grande,BR,76.37,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
375,Padang,ID,77.83,broken clouds,-0.9492,100.3543,Mercure Padang
380,Sao Gabriel Da Cachoeira,BR,79.65,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
381,Itarema,BR,76.84,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
383,Kirakira,SB,83.95,overcast clouds,-10.4544,161.9205,SanBiz Lodge
388,Port Blair,IN,82.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
391,Kutum,SD,76.51,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
392,Irbil,IQ,72.63,clear sky,36.1926,44.0106,Erbil International Hotel
395,Beterou,BJ,73.04,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
396,Kalianget,ID,80.58,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
399,Black Forest,US,77.05,clear sky,39.0131,-104.7008,Datt Properties
400,Waingapu,ID,77.11,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
404,Impfondo,CG,70.3,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
407,Isangel,VU,78.67,clear sky,-19.55,169.2667,Tanna Lodge
416,Kilindoni,TZ,80.6,clear sky,-7.9139,39.6668,Bustani B&B
419,Surt,LY,81.97,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
422,Itapaci,BR,72.25,few clouds,-14.9508,-49.5494,Gold Pallace Hotel
424,Tomatlan,MX,89.35,scattered clouds,19.9333,-105.25,El Salvial
427,Zuwarah,LY,84.65,overcast clouds,32.9312,12.082,تيدارت انغ
428,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
429,Bam,IR,83.35,clear sky,29.106,58.357,Bam Tourist Hotel
434,Sri Madhopur,IN,83.53,clear sky,27.4667,75.6,Joya jaroka
435,Chabahar,IR,84.07,clear sky,25.2919,60.643,هتل گدروشیا
437,Hurghada,EG,80.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
438,Mahajanga,MG,74.34,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
441,Utica,US,78.91,overcast clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
445,Gilbues,BR,80.02,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
449,Kokopo,PG,79.45,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
450,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
453,Voi,KE,71.17,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
454,Ruidoso,US,83.97,clear sky,33.3317,-105.673,Inn of the Mountain Gods
456,Magaria,NE,88.0,clear sky,12.9983,8.9099,Chez Honorable Chapiou
458,La Union,PE,77.22,few clouds,-5.4,-80.75,Los Portales
461,Mtwara,TZ,74.34,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
462,Kimbe,PG,77.99,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
463,Amahai,ID,78.1,broken clouds,-3.3333,128.9167,HOTEL ISABELA
465,Virginia Beach,US,79.05,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
466,Russell,US,71.2,broken clouds,32.3502,-85.1999,Macs
467,Touros,BR,78.62,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
468,Indiana,US,73.87,broken clouds,40.0003,-86.2503,WonderTree Farm
470,San Jose,US,81.75,overcast clouds,37.3394,-121.895,The Westin San Jose
472,Kusti,SD,88.97,clear sky,13.1629,32.6635,فندق الكوباري - Kobari Hotel
473,Uromi,NG,70.81,overcast clouds,6.7,6.3333,Royal Motel
474,Hami,CN,77.9,broken clouds,42.8,93.45,Laoyutang Resort
478,Guerrero Negro,MX,72.84,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
486,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
489,Kattivakkam,IN,84.07,scattered clouds,13.2167,80.3167,Euronova Freezer
490,Banjar,ID,75.97,light rain,-8.19,114.9675,The Hamsa Resort
491,Pontes E Lacerda,BR,82.42,overcast clouds,-15.2261,-59.3353,Hotel Bressan
492,Alghero,IT,71.69,light rain,40.5589,8.3181,Smy Carlos V Alghero
493,Alexandria,EG,71.71,clear sky,31.2156,29.9553,Royal Crown Hotel
495,Dhanera,IN,81.18,clear sky,24.5167,72.0167,Paresh joja
497,Redding,US,87.57,clear sky,40.5865,-122.3917,Redding Inn & Suites
499,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
500,Bontang,ID,75.87,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
501,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
504,Gautier,US,86.11,clear sky,30.3858,-88.6117,Magnolia Inn of Gautier
505,Bonthe,SL,78.17,light rain,7.5264,-12.505,Bonthe Holiday Village
506,Mitsamiouli,KM,79.79,overcast clouds,-11.3847,43.2844,Foyer ADM
507,Riberalta,BO,88.0,broken clouds,-10.9833,-66.1,Hotel Colonial
508,Manggar,ID,78.37,overcast clouds,-2.8833,108.2667,Guest Hotel
509,Cheney,US,74.98,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
510,Akyab,MM,80.96,scattered clouds,20.15,92.9,Hotel Memory
513,Guanica,PR,83.98,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
514,Miraflores,MX,83.97,broken clouds,19.2167,-98.8083,Hotel Mansión
515,Korla,CN,78.49,overcast clouds,41.7597,86.1469,Gulisitan Hotel
516,Shelburne,CA,73.9,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
521,Bom Jesus Da Lapa,BR,76.39,scattered clouds,-13.255,-43.4181,Hotel das Nações
522,Itumbiara,BR,71.76,overcast clouds,-18.4192,-49.2153,Itumbiara Palace Hotel
531,Marshall,US,75.18,broken clouds,34.3834,-86.3333,Riverview Campground
532,Grand Island,US,75.38,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
536,Kumluca,TR,75.76,broken clouds,36.3703,30.2869,Akkol Apart
540,Auki,SB,80.26,overcast clouds,-8.7676,160.7034,Auki Motel
542,Imbituba,BR,72.86,light rain,-28.24,-48.6703,Praia Hotel Imbituba
544,Totness,SR,77.76,few clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
545,Portland,US,76.33,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
