City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Narsaq,GL,60.9167,-46.05,46.62,92,100,5.3,overcast clouds
125,Arvika,SE,59.6553,12.5852,45.21,90,78,3.6,broken clouds
126,Andros Town,BS,24.7,-77.7667,82.36,70,45,15.3,scattered clouds
127,Sabha,LY,27.0377,14.4283,88.09,7,1,4.88,clear sky
128,Lorengau,PG,-2.0226,147.2712,81.88,74,95,4.99,overcast clouds
129,Conceicao Do Araguaia,BR,-8.2578,-49.2647,79.52,64,100,3.33,overcast clouds
130,Sur,OM,22.5667,59.5289,90.43,41,0,15.21,clear sky
131,Bethel,US,41.3712,-73.414,69.37,70,100,9.22,overcast clouds
132,Pevek,RU,69.7008,170.3133,31.48,79,98,10.76,overcast clouds
133,Tobolsk,RU,58.2,68.2667,66.63,60,100,13.58,overcast clouds
134,Nabire,ID,-3.3667,135.4833,75.63,89,39,2.82,scattered clouds
135,Chulym,RU,55.0997,80.9572,52.68,58,0,8.14,clear sky
136,Leningradskiy,RU,69.3833,178.4167,33.58,87,100,3.87,overcast clouds
137,Hofn,IS,64.2539,-15.2082,45.37,75,81,18.72,broken clouds
138,Cayenne,GF,4.9333,-52.3333,81.09,1,75,8.05,moderate rain
139,Ahipara,NZ,-35.1667,173.1667,58.96,71,58,4.41,broken clouds
140,Kodiak,US,57.79,-152.4072,56.71,54,0,6.91,clear sky
141,Dunedin,NZ,-45.8742,170.5036,41.81,81,5,1.99,clear sky
142,Nambucca Heads,AU,-30.65,153.0,59.16,87,13,4.94,few clouds
143,Qaqortoq,GL,60.7167,-46.0333,35.92,94,100,6.22,overcast clouds
144,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.58,74,2,9.26,clear sky
145,Mahebourg,MU,-20.4081,57.7,70.25,94,20,6.91,few clouds
146,Ilulissat,GL,69.2167,-51.1,33.82,86,100,9.22,light snow
147,Hobart,AU,-42.8794,147.3294,52.27,84,75,10.36,broken clouds
148,Haines Junction,CA,60.7522,-137.5108,55.35,49,61,3.2,light rain
149,Sept-Iles,CA,50.2001,-66.3821,50.05,67,100,1.01,overcast clouds
150,Westport,US,41.1415,-73.3579,70.29,68,70,5.01,broken clouds
151,Codrington,AU,-38.2667,141.9667,49.84,92,97,6.17,overcast clouds
152,Dingle,PH,10.9995,122.6711,77.2,88,99,2.33,heavy intensity rain
153,Yulara,AU,-25.2406,130.9889,54.81,62,10,10.4,clear sky
154,Kruisfontein,ZA,-34.0033,24.7314,52.88,90,39,4.34,scattered clouds
155,Kaeo,NZ,-35.1,173.7833,57.33,94,63,6.73,broken clouds
156,Zaqatala,AZ,41.6336,46.6433,55.87,72,66,13.8,broken clouds
157,Santa Rosa,PH,14.3122,121.1114,80.11,88,100,2.37,overcast clouds
158,Rudbar,AF,30.15,62.6,80.76,24,0,11.45,clear sky
159,Khandyga,RU,62.6667,135.6,41.9,80,99,0.89,overcast clouds
160,Labuhan,ID,-6.8844,112.2051,76.98,81,100,3.13,overcast clouds
161,Victoria,HK,22.2855,114.1577,81.32,94,98,4.0,overcast clouds
162,Soyo,AO,-6.1349,12.3689,73.98,88,21,6.53,few clouds
163,Tchibanga,GA,-2.85,11.0333,69.8,98,100,2.08,moderate rain
164,Karratha,AU,-20.7377,116.8463,74.48,72,74,5.99,broken clouds
165,Pangai,TO,-19.8,-174.35,79.16,82,73,16.28,broken clouds
166,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,0,9.22,clear sky
167,Port Hardy,CA,50.6996,-127.4199,55.58,76,100,2.3,light rain
168,Najran,SA,17.4924,44.1277,74.95,17,0,0.83,clear sky
169,Upernavik,GL,72.7868,-56.1549,32.11,77,18,11.97,few clouds
170,Komsomolskiy,UZ,40.4272,71.7189,75.42,39,99,3.04,overcast clouds
171,Matay,EG,28.419,30.7792,78.98,34,0,16.24,clear sky
172,Majene,ID,-3.5403,118.9707,75.16,96,100,10.58,overcast clouds
173,Eskilstuna,SE,59.3666,16.5077,51.58,94,100,5.01,overcast clouds
174,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,87,68,5.41,broken clouds
175,Ancud,CL,-41.8697,-73.8203,45.48,79,75,4.12,broken clouds
176,North Bend,US,43.4065,-124.2243,71.24,50,100,11.77,overcast clouds
177,Valdemarpils,LV,57.3707,22.5919,47.48,91,35,10.85,light rain
178,Halifax,CA,44.6453,-63.5724,61.52,55,63,5.99,broken clouds
179,Nanortalik,GL,60.1432,-45.2371,35.19,95,100,9.8,overcast clouds
180,San Quintin,MX,30.4833,-115.95,67.86,65,1,9.78,clear sky
181,Namibe,AO,-15.1961,12.1522,67.84,82,62,2.35,broken clouds
182,Lubango,AO,-14.9172,13.4925,55.0,36,0,2.68,clear sky
183,Constitucion,CL,-35.3333,-72.4167,49.93,74,95,8.5,overcast clouds
184,Holden,US,42.3518,-71.8634,69.94,60,75,12.66,broken clouds
185,Katsuura,JP,35.1333,140.3,68.02,89,100,22.86,overcast clouds
186,Ixtapa,MX,20.7,-105.2,81.63,69,0,10.36,clear sky
187,Nauta,PE,-4.5061,-73.5757,79.86,87,48,1.34,moderate rain
188,Bengkulu,ID,-3.8004,102.2655,75.92,83,86,3.87,overcast clouds
189,Danane,CI,7.2596,-8.155,70.39,97,38,0.81,light rain
190,Rancho Palos Verdes,US,33.7445,-118.387,78.04,75,20,16.11,few clouds
191,Nortelandia,BR,-14.4547,-56.8028,78.12,45,84,4.0,broken clouds
192,Remedios,CU,22.4947,-79.5458,86.92,68,52,17.29,broken clouds
193,Pastavy,BY,55.1168,26.8326,47.28,90,10,16.35,clear sky
194,Quatre Cocos,MU,-20.2078,57.7625,70.09,73,1,5.55,clear sky
195,Rawson,AR,-43.3002,-65.1023,44.89,44,0,12.62,clear sky
196,Atlantic City,US,39.3643,-74.4229,68.18,78,100,10.36,overcast clouds
197,Severo-Kurilsk,RU,50.6789,156.125,41.77,82,34,1.61,scattered clouds
198,Lompoc,US,34.6391,-120.4579,77.68,78,100,13.8,mist
199,Copiapo,CL,-27.3667,-70.3333,55.09,54,98,3.36,overcast clouds
200,Batangafo,CF,7.3008,18.2833,70.27,93,100,6.82,moderate rain
201,Vao,NC,-22.6667,167.4833,73.4,78,100,9.28,overcast clouds
202,Pochutla,MX,15.7432,-96.4661,86.83,79,91,3.71,overcast clouds
203,Udachnyy,RU,66.4167,112.4,32.77,66,46,14.43,scattered clouds
204,Lavrentiya,RU,65.5833,-171.0,34.48,95,71,3.29,broken clouds
205,Port Keats,AU,-14.25,129.55,68.59,48,19,7.72,few clouds
206,Kaitangata,NZ,-46.2817,169.8464,41.29,77,6,4.47,clear sky
207,Amapa,BR,1.0,-52.0,71.69,99,100,2.21,overcast clouds
208,Flinders,AU,-34.5833,150.8552,56.37,93,64,3.0,broken clouds
209,Provideniya,RU,64.3833,-173.3,33.91,86,100,6.71,overcast clouds
210,Jeremoabo,BR,-10.075,-38.4808,69.84,93,69,9.84,broken clouds
211,Faya,SA,18.3851,42.4509,66.72,41,1,1.97,clear sky
212,Te Anau,NZ,-45.4167,167.7167,40.64,78,22,1.21,few clouds
213,Nuuk,GL,64.1835,-51.7216,30.81,93,100,12.66,light snow
214,Fairview,US,40.8126,-73.999,71.31,72,40,17.27,scattered clouds
215,Yongzhou,CN,26.4559,111.5988,67.55,96,100,2.77,overcast clouds
216,Gbarnga,LR,6.9956,-9.4722,71.49,98,33,2.8,scattered clouds
217,Andenes,NO,69.3143,16.1194,49.98,76,91,2.3,overcast clouds
218,Ribeira Grande,PT,38.5167,-28.7,64.08,77,100,17.54,overcast clouds
